Gene stable ID	Transcript stable ID	Gene name	Mouse gene stable ID	Mouse gene name
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094524	Gm22909
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000064377	Gm24966
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094068	Gm25156
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096161	Gm24639
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000095031	Gm22348
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096812	Gm25087
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096595	Gm25742
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094059	Gm23471
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096814	Gm25085
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094565	Gm25229
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000075968	Gm25089
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000095476	Gm25077
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094609	Gm25870
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096285	Gm22253
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000093997	Gm26499
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000096913	Gm24866
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094625	Gm22524
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000093870	Gm25461
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000095021	Gm24021
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000095671	Gm25098
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000094847	Gm22640
ENSRNOG00000058591	ENSRNOT00000088869	SNORD115	ENSMUSG00000095581	Gm22630
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093958	Gm24495
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095357	Gm23286
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093994	Gm26498
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095628	Gm24585
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096324	Gm26336
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094550	Gm22393
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094610	Gm23076
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000075726	Gm23254
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095402	Gm25585
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094034	Gm24653
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096328	Gm26337
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094636	Gm24219
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094283	Gm26434
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096447	Gm24206
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094631	Gm24220
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094567	Gm25230
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094765	Gm25523
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096048	Gm22510
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094883	Gm25121
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094912	Gm26392
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094364	Gm26059
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095885	Gm26432
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095310	Gm25463
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094476	Gm25934
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094888	Gm25120
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096605	Gm26200
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094038	Gm24657
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094032	Gm24654
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095372	Gm22111
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095587	Gm22629
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096291	Gm23933
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095220	Gm23560
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095491	Gm24088
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094438	Gm23618
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094903	Gm23575
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096090	Gm26334
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096811	Gm25088
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096185	Gm23305
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095739	Gm25314
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094723	Gm23356
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095714	Gm26467
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096281	Gm22255
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096430	Gm22130
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094458	Gm22627
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094548	Gm25221
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095009	Gm25175
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094604	Gm25874
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094037	Gm24652
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094129	Gm23944
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095342	Gm26096
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096648	Gm24027
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094753	Gm25017
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094667	Gm24872
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096046	Gm24969
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094522	Gm22912
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096387	Gm26488
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095091	Gm23660
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093830	Gm23145
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094095	Gm25648
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096287	Gm22252
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095501	Gm22449
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096067	Gm23682
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096565	Gm24100
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095660	Gm22274
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096821	Gm24570
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093943	Gm22834
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096359	Gm25710
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096136	Gm25146
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094508	Gm26230
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095911	Gm24528
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096041	Gm22511
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094587	Gm26366
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094919	Gm26389
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094099	Gm25823
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096392	Gm23688
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094554	Gm22391
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094465	Gm24306
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095511	Gm24137
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095713	Gm26466
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094148	Gm24952
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096496	Gm25646
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093854	Gm24310
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095764	Gm25840
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094308	Gm24926
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094538	Gm25741
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094998	Gm22050
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094048	Gm26284
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093981	Gm24862
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095182	Gm26374
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096683	Gm25988
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095428	Gm24418
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095945	Gm25194
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095924	Gm24040
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094513	Gm24566
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094917	Gm26390
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096390	Gm23687
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095997	Gm24702
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095828	Gm25449
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093860	Gm22632
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094442	Gm25452
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000077645	Gm24983
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094213	Gm23449
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094922	Gm24759
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096454	Gm23310
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095425	Gm24417
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096028	Gm25984
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094049	Gm26283
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095314	Gm25462
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093824	Gm24799
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096306	Gm25209
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094093	Gm25647
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095418	Gm23922
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096799	Gm22996
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094524	Gm22909
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000064377	Gm24966
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094068	Gm25156
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096161	Gm24639
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095031	Gm22348
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096812	Gm25087
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096595	Gm25742
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094059	Gm23471
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096814	Gm25085
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094565	Gm25229
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000075968	Gm25089
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095476	Gm25077
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094609	Gm25870
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096285	Gm22253
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093997	Gm26499
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000096913	Gm24866
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094625	Gm22524
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000093870	Gm25461
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095021	Gm24021
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095671	Gm25098
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000094847	Gm22640
ENSRNOG00000061338	ENSRNOT00000087211	SNORD115	ENSMUSG00000095581	Gm22630
ENSRNOG00000054326	ENSRNOT00000081120	SNORD88	ENSMUSG00000080683	Gm23991
ENSRNOG00000031710	ENSRNOT00000051031	LOC100910138	ENSMUSG00000053030	Spink2
ENSRNOG00000055202	ENSRNOT00000079175	U6	ENSMUSG00000094521	Gm22911
ENSRNOG00000016123	ENSRNOT00000082733	Rnf144b	ENSMUSG00000038068	Rnf144b
ENSRNOG00000016123	ENSRNOT00000036876	Rnf144b	ENSMUSG00000038068	Rnf144b
ENSRNOG00000058037	ENSRNOT00000077605	U1	ENSMUSG00000065096	Gm23680
ENSRNOG00000017473	ENSRNOT00000080231	Ttc25	ENSMUSG00000006784	Ttc25
ENSRNOG00000017473	ENSRNOT00000067559	Ttc25	ENSMUSG00000006784	Ttc25
ENSRNOG00000005600	ENSRNOT00000041394	Nr4a2	ENSMUSG00000026826	Nr4a2
ENSRNOG00000005600	ENSRNOT00000078001	Nr4a2	ENSMUSG00000026826	Nr4a2
ENSRNOG00000059126	ENSRNOT00000082707	U6	ENSMUSG00000065727	Gm26164
ENSRNOG00000013752	ENSRNOT00000018416	Elavl3	ENSMUSG00000003410	Elavl3
ENSRNOG00000003643	ENSRNOT00000004854	Tab3	ENSMUSG00000035476	Tab3
ENSRNOG00000056150	ENSRNOT00000078282	Purb	ENSMUSG00000094483	Purb
ENSRNOG00000056599	ENSRNOT00000080363	SNORA53	ENSMUSG00000077167	Gm24119
ENSRNOG00000034039	ENSRNOT00000045417	Olr127	ENSMUSG00000061626	Olfr68
ENSRNOG00000030568	ENSRNOT00000040215	Rgs12	ENSMUSG00000029101	Rgs12
ENSRNOG00000030568	ENSRNOT00000045068	Rgs12	ENSMUSG00000029101	Rgs12
ENSRNOG00000030568	ENSRNOT00000081570	Rgs12	ENSMUSG00000029101	Rgs12
ENSRNOG00000002417	ENSRNOT00000003314	Serpinb10	ENSMUSG00000092572	Serpinb10
ENSRNOG00000060333	ENSRNOT00000084476	SNORA61	ENSMUSG00000084702	Gm22986
ENSRNOG00000053074	ENSRNOT00000082170	7SK	ENSMUSG00000089395	Gm23024
ENSRNOG00000057795	ENSRNOT00000074803	Dusp13	ENSMUSG00000021768	Dusp13
ENSRNOG00000057795	ENSRNOT00000089013	Dusp13	ENSMUSG00000021768	Dusp13
ENSRNOG00000054921	ENSRNOT00000085121	SNORA17	ENSMUSG00000089024	Gm25016
ENSRNOG00000031662	ENSRNOT00000041950	Slc6a5	ENSMUSG00000039728	Slc6a5
ENSRNOG00000031662	ENSRNOT00000089693	Slc6a5	ENSMUSG00000039728	Slc6a5
ENSRNOG00000023064	ENSRNOT00000030019	Catsper2	ENSMUSG00000033486	Catsper2
ENSRNOG00000018143	ENSRNOT00000024393	Hpdl	ENSMUSG00000043155	Hpdl
ENSRNOG00000052446	ENSRNOT00000078595	SNORA9	ENSMUSG00000088518	Gm24438
ENSRNOG00000046984	ENSRNOT00000074401	St6galnac6	ENSMUSG00000026811	St6galnac6
ENSRNOG00000055783	ENSRNOT00000087315	SNORA68	ENSMUSG00000088691	Gm22331
ENSRNOG00000055783	ENSRNOT00000087315	SNORA68	ENSMUSG00000077380	Gm22661
ENSRNOG00000017016	ENSRNOT00000022852	Ubqlnl	ENSMUSG00000051437	Ubqlnl
ENSRNOG00000047910	ENSRNOT00000071866	AABR07027368.1	ENSMUSG00000028394	Pole3
ENSRNOG00000055427	ENSRNOT00000083041	7SK	ENSMUSG00000087981	Gm22227
ENSRNOG00000050298	ENSRNOT00000078052	Rfng	ENSMUSG00000025158	Rfng
ENSRNOG00000050298	ENSRNOT00000075041	Rfng	ENSMUSG00000025158	Rfng
ENSRNOG00000029415	ENSRNOT00000047111	RGD1565784	ENSMUSG00000067722	BC003965
ENSRNOG00000017959	ENSRNOT00000024222	Cfap100	ENSMUSG00000048794	Cfap100
ENSRNOG00000019330	ENSRNOT00000055254	Procr	ENSMUSG00000027611	Procr
ENSRNOG00000056485	ENSRNOT00000079985	LOC103694903	ENSMUSG00000020349	Ppp2ca
ENSRNOG00000029766	ENSRNOT00000047239	Olr224	ENSMUSG00000045013	Olfr711
ENSRNOG00000008696	ENSRNOT00000011511	RGD1563365	ENSMUSG00000020255	D10Wsu102e
ENSRNOG00000052583	ENSRNOT00000081074	Zfp106	ENSMUSG00000027288	Zfp106
ENSRNOG00000052583	ENSRNOT00000078893	Zfp106	ENSMUSG00000027288	Zfp106
ENSRNOG00000052583	ENSRNOT00000089857	Zfp106	ENSMUSG00000027288	Zfp106
ENSRNOG00000024794	ENSRNOT00000034757	Senp5	ENSMUSG00000022772	Senp5
ENSRNOG00000024928	ENSRNOT00000055648	RGD1306519	ENSMUSG00000027973	1700006A11Rik
ENSRNOG00000048935	ENSRNOT00000073404	Tmem45al	ENSMUSG00000022754	Tmem45a
ENSRNOG00000006718	ENSRNOT00000033377	Rbm33	ENSMUSG00000048271	Rbm33
ENSRNOG00000000609	ENSRNOT00000000748	Ipmk	ENSMUSG00000060733	Ipmk
ENSRNOG00000007679	ENSRNOT00000077256	Cyth4	ENSMUSG00000018008	Cyth4
ENSRNOG00000007679	ENSRNOT00000056221	Cyth4	ENSMUSG00000018008	Cyth4
ENSRNOG00000032699	ENSRNOT00000068459	Ttyh1	ENSMUSG00000030428	Ttyh1
ENSRNOG00000014787	ENSRNOT00000020090	Cabp5	ENSMUSG00000005649	Cabp5
ENSRNOG00000015202	ENSRNOT00000020581	Dnajc5	ENSMUSG00000000826	Dnajc5
ENSRNOG00000015202	ENSRNOT00000086046	Dnajc5	ENSMUSG00000000826	Dnajc5
ENSRNOG00000056907	ENSRNOT00000083247	Nipbl	ENSMUSG00000022141	Nipbl
ENSRNOG00000025216	ENSRNOT00000051259	Alkbh6	ENSMUSG00000042831	Alkbh6
ENSRNOG00000028743	ENSRNOT00000039842	Gal3st3	ENSMUSG00000047658	Gal3st3
ENSRNOG00000008530	ENSRNOT00000011383	Stoml1	ENSMUSG00000032333	Stoml1
ENSRNOG00000028988	ENSRNOT00000041268	LOC100363319	ENSMUSG00000100622	Gm20379
ENSRNOG00000028988	ENSRNOT00000041268	LOC100363319	ENSMUSG00000073371	Gm6594
ENSRNOG00000028988	ENSRNOT00000041268	LOC100363319	ENSMUSG00000003038	Hmgn2
ENSRNOG00000028988	ENSRNOT00000041268	LOC100363319	ENSMUSG00000091775	Gm16494
ENSRNOG00000028988	ENSRNOT00000041268	LOC100363319	ENSMUSG00000070713	Gm10282
ENSRNOG00000053148	ENSRNOT00000077433	Hoxa13	ENSMUSG00000038203	Hoxa13
ENSRNOG00000059793	ENSRNOT00000086469	Rab37	ENSMUSG00000020732	Rab37
ENSRNOG00000013140	ENSRNOT00000017937	Pdzd2	ENSMUSG00000022197	Pdzd2
ENSRNOG00000013217	ENSRNOT00000017665	Ttc33	ENSMUSG00000022151	Ttc33
ENSRNOG00000054560	ENSRNOT00000087762	Sh2d3c	ENSMUSG00000059013	Sh2d3c
ENSRNOG00000054560	ENSRNOT00000078366	Sh2d3c	ENSMUSG00000059013	Sh2d3c
ENSRNOG00000037165	ENSRNOT00000025075	Nipal3	ENSMUSG00000028803	Nipal3
ENSRNOG00000013589	ENSRNOT00000066670	Cxcl12	ENSMUSG00000061353	Cxcl12
ENSRNOG00000054939	ENSRNOT00000077148	LOC689730	ENSMUSG00000057321	Usp17ld
ENSRNOG00000054939	ENSRNOT00000077148	LOC689730	ENSMUSG00000062369	Usp17lb
ENSRNOG00000054939	ENSRNOT00000077148	LOC689730	ENSMUSG00000054568	Usp17la
ENSRNOG00000054939	ENSRNOT00000077148	LOC689730	ENSMUSG00000043073	Usp17le
ENSRNOG00000054939	ENSRNOT00000077148	LOC689730	ENSMUSG00000058976	Usp17lc
ENSRNOG00000026387	ENSRNOT00000036564	Ms4a12	ENSMUSG00000101031	Ms4a12
ENSRNOG00000024145	ENSRNOT00000046026	Trim65	ENSMUSG00000054517	Trim65
ENSRNOG00000029121	ENSRNOT00000045320	AABR07065790.1	ENSMUSG00000076674	Ighv3-8
ENSRNOG00000014378	ENSRNOT00000019415	Il1r2	ENSMUSG00000026073	Il1r2
ENSRNOG00000000866	ENSRNOT00000001154	Rbmx	ENSMUSG00000031134	Rbmx
ENSRNOG00000026049	ENSRNOT00000018892	Qrsl1	ENSMUSG00000019863	Qrsl1
ENSRNOG00000008401	ENSRNOT00000011215	Card10	ENSMUSG00000033170	Card10
ENSRNOG00000008401	ENSRNOT00000077677	Card10	ENSMUSG00000033170	Card10
ENSRNOG00000001870	ENSRNOT00000002554	Lztr1	ENSMUSG00000022761	Lztr1
ENSRNOG00000020652	ENSRNOT00000028051	Tgfb1	ENSMUSG00000002603	Tgfb1
ENSRNOG00000022741	ENSRNOT00000079230	Ilf3	ENSMUSG00000032178	Ilf3
ENSRNOG00000022741	ENSRNOT00000085320	Ilf3	ENSMUSG00000032178	Ilf3
ENSRNOG00000022741	ENSRNOT00000009354	Ilf3	ENSMUSG00000032178	Ilf3
ENSRNOG00000001609	ENSRNOT00000002191	Cep97	ENSMUSG00000022604	Cep97
ENSRNOG00000043109	ENSRNOT00000063929	AABR07065814.3	ENSMUSG00000095981	Ighv10-1
ENSRNOG00000043109	ENSRNOT00000063929	AABR07065814.3	ENSMUSG00000095700	Ighv10-3
ENSRNOG00000009646	ENSRNOT00000013382	Nyx	ENSMUSG00000051228	Nyx
ENSRNOG00000022631	ENSRNOT00000035446	Fgf5	ENSMUSG00000029337	Fgf5
ENSRNOG00000022631	ENSRNOT00000077861	Fgf5	ENSMUSG00000029337	Fgf5
ENSRNOG00000056007	ENSRNOT00000090548	AABR07049228.1	ENSMUSG00000073676	Hspe1
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000074434	Defa28
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000074446	Defa23
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000064213	Defa24
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000060208	Defa17
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000074442	Defa31
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000074444	Defa30
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000074440	Defa3
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000082211	Defa27
ENSRNOG00000046075	ENSRNOT00000045057	Defa8	ENSMUSG00000094687	Defa25
ENSRNOG00000003048	ENSRNOT00000004083	Tiprl	ENSMUSG00000040843	Tiprl
ENSRNOG00000052229	ENSRNOT00000078398	LOC103690289	ENSMUSG00000017002	Slpi
ENSRNOG00000006669	ENSRNOT00000008715	Olr722	ENSMUSG00000049057	Olfr1257
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000097581	Gm21936
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000095799	Gm8332
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000057561	Eif1a
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000093847	Gm5039
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000096049	Gm2075
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000096803	Gm6803
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000095724	Gm21319
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000072905	Gm2016
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000069276	Gm10264
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000079030	Gm2046
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000095717	Gm2056
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000079031	BB287469
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000096619	Gm2035
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000079034	Gm8300
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000092019	Gm4027
ENSRNOG00000031421	ENSRNOT00000041237	Eif1a	ENSMUSG00000079029	Gm5662
ENSRNOG00000031421	ENSRNOT00000087984	Eif1a	ENSMUSG00000097581	Gm21936
ENSRNOG00000031421	ENSRNOT00000087984	Eif1a	ENSMUSG00000095799	Gm8332
ENSRNOG00000031421	ENSRNOT00000087984	Eif1a	ENSMUSG00000057561	Eif1a
ENSRNOG00000031421	ENSRNOT00000087984	Eif1a	ENSMUSG00000093847	Gm5039
ENSRNOG00000031421	ENSRNOT00000087984	Eif1a	ENSMUSG00000096049	Gm2075
