Mouse.Ensembl.Gene.ID	Human.Ensembl.Gene.ID	Gencode19	Human_Symbol	Mouse_Symbol
ENSMUSG00000022500	ENSG00000189067	ENSG00000189067.8	LITAF	Litaf
ENSMUSG00000022503	ENSG00000103274	ENSG00000103274.6	NUBP1	Nubp1
ENSMUSG00000022504	ENSG00000179583	ENSG00000179583.13	CIITA	Ciita
ENSMUSG00000022505	ENSG00000213853	ENSG00000213853.5	EMP2	Emp2
ENSMUSG00000022507	ENSG00000182831	ENSG00000182831.7	C16orf72	1810013L24Rik
ENSMUSG00000022508	ENSG00000113916	ENSG00000113916.13	BCL6	Bcl6
ENSMUSG00000022510	ENSG00000073282	ENSG00000073282.8	TP63	Trp63
ENSMUSG00000022512	ENSG00000163347	ENSG00000163347.5	CLDN1	Cldn1
ENSMUSG00000022514	ENSG00000196083	ENSG00000196083.5	IL1RAP	Il1rap
ENSMUSG00000022515	ENSG00000168096	ENSG00000168096.10	ANKS3	Anks3
ENSMUSG00000022516	ENSG00000168101	ENSG00000168101.10	NUDT16L1	Nudt16l1
ENSMUSG00000022517	ENSG00000102858	ENSG00000102858.8	MGRN1	Mgrn1
ENSMUSG00000022518	ENSG00000205832	ENSG00000205832.7	C16orf96	4930562C15Rik
ENSMUSG00000022519	ENSG00000185739	ENSG00000185739.9	SRL	Srl
ENSMUSG00000022521	ENSG00000005339	ENSG00000005339.8	CREBBP	Crebbp
ENSMUSG00000022523	ENSG00000114279	ENSG00000114279.9	FGF12	Fgf12
ENSMUSG00000022525	ENSG00000127252	ENSG00000127252.4	HRASLS	Hrasls
ENSMUSG00000022526	ENSG00000198169	ENSG00000198169.4	ZNF251	Zfp251
ENSMUSG00000022528	ENSG00000114315	ENSG00000114315.3	HES1	Hes1
ENSMUSG00000022529	ENSG00000006194	ENSG00000006194.6	ZNF263	Zfp263
ENSMUSG00000022533	ENSG00000133657	ENSG00000133657.10	ATP13A3	Atp13a3
ENSMUSG00000022534	ENSG00000128276	ENSG00000128276.6	RFPL3	Mefv
ENSMUSG00000022536	ENSG00000140632	ENSG00000140632.12	GLYR1	Glyr1
ENSMUSG00000022537	ENSG00000145014	ENSG00000145014.13	TMEM44	Tmem44
ENSMUSG00000022538	ENSG00000041802	ENSG00000041802.6	LSG1	Lsg1
ENSMUSG00000022540	ENSG00000067836	ENSG00000067836.8	ROGDI	Rogdi
ENSMUSG00000022542	ENSG00000140623	ENSG00000140623.9	SEPT12	Sept12
ENSMUSG00000022543	ENSG00000166246	ENSG00000166246.9	C16orf71	4930451G09Rik
ENSMUSG00000022544	ENSG00000145002	ENSG00000145002.8	FAM86B2	Fam86
ENSMUSG00000022544	ENSG00000118894	ENSG00000118894.10	FAM86A	Fam86
ENSMUSG00000022544	ENSG00000158483	ENSG00000158483.11	FAM86C1	Fam86
ENSMUSG00000022544	ENSG00000186523	ENSG00000186523.10	FAM86B1	Fam86
ENSMUSG00000022545	ENSG00000175595	ENSG00000175595.10	ERCC4	Ercc4
ENSMUSG00000022546	ENSG00000167701	ENSG00000167701.9	GPT	Gpt
ENSMUSG00000022548	ENSG00000189058	ENSG00000189058.4	APOD	Apod
ENSMUSG00000022550	ENSG00000173137	ENSG00000173137.7	ADCK5	Adck5
ENSMUSG00000022551	ENSG00000179091	ENSG00000179091.4	CYC1	Cyc1
ENSMUSG00000022552	ENSG00000179526	ENSG00000179526.12	SHARPIN	Sharpin
ENSMUSG00000022553	ENSG00000179632	ENSG00000179632.5	MAF1	Maf1
ENSMUSG00000022554	ENSG00000230567	ENSG00000230567.3	FAM203B	Fam203a
ENSMUSG00000022554	ENSG00000235173	ENSG00000235173.2	FAM203A	Fam203a
ENSMUSG00000022555	ENSG00000185000	ENSG00000185000.5	DGAT1	Dgat1
ENSMUSG00000022556	ENSG00000185122	ENSG00000185122.6	HSF1	Hsf1
ENSMUSG00000022557	ENSG00000204775	ENSG00000204775.4	KM-PA-2	Bop1
ENSMUSG00000022557	ENSG00000170727	ENSG00000170727.7	BOP1	Bop1
ENSMUSG00000022558	ENSG00000179832	ENSG00000179832.13	MROH1	Mroh1
ENSMUSG00000022559	ENSG00000182325	ENSG00000182325.6	FBXL6	Fbxl6
ENSMUSG00000022560	ENSG00000185803	ENSG00000185803.4	SLC52A2	Slc52a2
ENSMUSG00000022560	ENSG00000132517	ENSG00000132517.10	SLC52A1	Slc52a2
ENSMUSG00000022561	ENSG00000197858	ENSG00000197858.6	GPAA1	Gpaa1
ENSMUSG00000022562	ENSG00000178814	ENSG00000178814.11	OPLAH	Oplah
ENSMUSG00000022564	ENSG00000178719	ENSG00000178719.12	GRINA	Grina
ENSMUSG00000022565	ENSG00000178209	ENSG00000178209.10	PLEC	Plec
ENSMUSG00000022568	ENSG00000180900	ENSG00000180900.12	SCRIB	Scrib
ENSMUSG00000022570	ENSG00000104522	ENSG00000104522.11	TSTA3	Tsta3
ENSMUSG00000022571	ENSG00000104524	ENSG00000104524.9	PYCRL	Pycrl
ENSMUSG00000022574	ENSG00000147813	ENSG00000147813.11	NAPRT1	Naprt1
ENSMUSG00000022575	ENSG00000104518	ENSG00000104518.6	GSDMD	Gsdmd
ENSMUSG00000022577	ENSG00000176956	ENSG00000176956.8	LY6H	Ly6h
ENSMUSG00000022579	ENSG00000182851	ENSG00000182851.2	GPIHBP1	Gpihbp1
ENSMUSG00000022580	ENSG00000158106	ENSG00000158106.8	RHPN1	Rhpn1
ENSMUSG00000022587	ENSG00000160932	ENSG00000160932.6	LY6E	Ly6e
ENSMUSG00000022589	ENSG00000179142	ENSG00000179142.2	CYP11B2	Cyp11b2
ENSMUSG00000022589	ENSG00000160882	ENSG00000160882.7	CYP11B1	Cyp11b2
ENSMUSG00000022595	ENSG00000197353	ENSG00000197353.3	LYPD2	Lypd2
ENSMUSG00000022596	ENSG00000126233	ENSG00000126233.1	SLURP1	Slurp1
ENSMUSG00000022598	ENSG00000167653	ENSG00000167653.4	PSCA	Psca
ENSMUSG00000022601	ENSG00000066422	ENSG00000066422.4	ZBTB11	Rpl24
ENSMUSG00000022602	ENSG00000198576	ENSG00000198576.2	ARC	Arc
ENSMUSG00000022604	ENSG00000182504	ENSG00000182504.6	CEP97	Cep97
ENSMUSG00000022607	ENSG00000169398	ENSG00000169398.15	PTK2	Ptk2
ENSMUSG00000022610	ENSG00000188130	ENSG00000188130.9	MAPK12	Mapk12
ENSMUSG00000022613	ENSG00000100253	ENSG00000100253.8	MIOX	Miox
ENSMUSG00000022614	ENSG00000100258	ENSG00000100258.13	LMF2	Lmf2
ENSMUSG00000022615	ENSG00000025708	ENSG00000025708.8	TYMP	Tymp
ENSMUSG00000022617	ENSG00000100288	ENSG00000100288.15	CHKB	Chkb
ENSMUSG00000022619	ENSG00000008735	ENSG00000008735.10	MAPK8IP2	Mapk8ip2
ENSMUSG00000022620	ENSG00000100299	ENSG00000100299.13	ARSA	Arsa
ENSMUSG00000022621	ENSG00000079974	ENSG00000079974.13	RABL2B	Rabl2
ENSMUSG00000022621	ENSG00000144134	ENSG00000144134.14	RABL2A	Rabl2
ENSMUSG00000022622	ENSG00000100312	ENSG00000100312.6	ACR	Acr
ENSMUSG00000022623	ENSG00000251322	ENSG00000251322.3	SHANK3	Shank3
ENSMUSG00000022629	ENSG00000139116	ENSG00000139116.13	KIF21A	Kif21a
ENSMUSG00000022634	ENSG00000015153	ENSG00000015153.10	YAF2	Yaf2
ENSMUSG00000022635	ENSG00000139168	ENSG00000139168.3	ZCRB1	Zcrb1
ENSMUSG00000022636	ENSG00000170017	ENSG00000170017.8	ALCAM	Alcam
ENSMUSG00000022637	ENSG00000114423	ENSG00000114423.14	CBLB	Cblb
ENSMUSG00000022641	ENSG00000114439	ENSG00000114439.14	BBX	Bbx
ENSMUSG00000022650	ENSG00000163515	ENSG00000163515.6	RETNLB	Retnlb
ENSMUSG00000022651	ENSG00000163515	ENSG00000163515.6	RETNLB	Retnlg
ENSMUSG00000022652	ENSG00000114487	ENSG00000114487.5	MORC1	Morc1
ENSMUSG00000022656	ENSG00000177707	ENSG00000177707.6	PVRL3	Pvrl3
ENSMUSG00000022657	ENSG00000153283	ENSG00000153283.8	CD96	Cd96
ENSMUSG00000022658	ENSG00000144834	ENSG00000144834.8	TAGLN3	Tagln3
ENSMUSG00000022659	ENSG00000174500	ENSG00000174500.8	GCSAM	Gcsam
ENSMUSG00000022661	ENSG00000091972	ENSG00000091972.14	CD200	Cd200
ENSMUSG00000022663	ENSG00000144848	ENSG00000144848.6	ATG3	Atg3
ENSMUSG00000022664	ENSG00000138459	ENSG00000138459.4	SLC35A5	Slc35a5
ENSMUSG00000022665	ENSG00000091986	ENSG00000091986.11	CCDC80	Ccdc80
ENSMUSG00000022667	ENSG00000206531	ENSG00000206531.6	CD200R1L	Cd200r1
ENSMUSG00000022667	ENSG00000163606	ENSG00000163606.6	CD200R1	Cd200r1
ENSMUSG00000022668	ENSG00000163607	ENSG00000163607.10	GTPBP8	Gtpbp8
ENSMUSG00000022671	ENSG00000152082	ENSG00000152082.9	MZT2B	Mzt2
ENSMUSG00000022671	ENSG00000173272	ENSG00000173272.9	MZT2A	Mzt2
ENSMUSG00000022672	ENSG00000253729	ENSG00000253729.3	PRKDC	Prkdc
ENSMUSG00000022673	ENSG00000104738	ENSG00000104738.12	MCM4	Mcm4
ENSMUSG00000022674	ENSG00000169139	ENSG00000169139.7	UBE2V2	Ube2v2
ENSMUSG00000022676	ENSG00000019549	ENSG00000019549.4	SNAI2	Snai2
ENSMUSG00000022677	ENSG00000133393	ENSG00000133393.8	FOPNL	Fopnl
ENSMUSG00000022678	ENSG00000072864	ENSG00000072864.8	NDE1	Nde1
ENSMUSG00000022679	ENSG00000156968	ENSG00000156968.8	MPV17L	Mpv17l
ENSMUSG00000022680	ENSG00000179889	ENSG00000179889.14	PDXDC1	Pdxdc1
ENSMUSG00000022681	ENSG00000157045	ENSG00000157045.4	NTAN1	Ntan1
ENSMUSG00000022682	ENSG00000085721	ENSG00000085721.8	RRN3	Rrn3
ENSMUSG00000022683	ENSG00000069764	ENSG00000069764.5	PLA2G10	Pla2g10
ENSMUSG00000022684	ENSG00000103429	ENSG00000103429.6	BFAR	Bfar
ENSMUSG00000022685	ENSG00000140694	ENSG00000140694.12	PARN	Parn
ENSMUSG00000022686	ENSG00000176597	ENSG00000176597.7	B3GNT5	B3gnt5
ENSMUSG00000022687	ENSG00000144857	ENSG00000144857.10	BOC	Boc
ENSMUSG00000022696	ENSG00000072858	ENSG00000072858.6	SIDT1	Sidt1
ENSMUSG00000022698	ENSG00000121579	ENSG00000121579.8	NAA50	Naa50
ENSMUSG00000022701	ENSG00000163617	ENSG00000163617.6	KIAA1407	2610015P09Rik
ENSMUSG00000022702	ENSG00000100084	ENSG00000100084.10	HIRA	Hira
ENSMUSG00000022704	ENSG00000151576	ENSG00000151576.6	QTRTD1	Qtrtd1
ENSMUSG00000022705	ENSG00000151577	ENSG00000151577.8	DRD3	Drd3
ENSMUSG00000022706	ENSG00000185608	ENSG00000185608.4	MRPL40	Mrpl40
ENSMUSG00000022707	ENSG00000114480	ENSG00000114480.8	GBE1	Gbe1
ENSMUSG00000022708	ENSG00000181722	ENSG00000181722.11	ZBTB20	Zbtb20
ENSMUSG00000022710	ENSG00000187555	ENSG00000187555.10	USP7	Usp7
ENSMUSG00000022711	ENSG00000140650	ENSG00000140650.7	PMM2	Pmm2
ENSMUSG00000022715	ENSG00000232258	ENSG00000232258.2	TMEM114	Cldn26
ENSMUSG00000022718	ENSG00000128191	ENSG00000128191.9	DGCR8	Dgcr8
ENSMUSG00000022721	ENSG00000099899	ENSG00000099899.10	TRMT2A	Trmt2a
ENSMUSG00000022722	ENSG00000113966	ENSG00000113966.5	ARL6	Arl6
ENSMUSG00000022723	ENSG00000080200	ENSG00000080200.5	CRYBG3	Crybg3
ENSMUSG00000022724	ENSG00000170854	ENSG00000170854.13	MINA	Mina
ENSMUSG00000022738	ENSG00000063515	ENSG00000063515.2	GSC2	Gsc2
ENSMUSG00000022742	ENSG00000080819	ENSG00000080819.2	CPOX	Cpox
ENSMUSG00000022744	ENSG00000080822	ENSG00000080822.12	CLDND1	Cldn25
ENSMUSG00000022747	ENSG00000064225	ENSG00000064225.8	ST3GAL6	St3gal6
ENSMUSG00000022748	ENSG00000184220	ENSG00000184220.6	CMSS1	Cmss1
ENSMUSG00000022749	ENSG00000036054	ENSG00000036054.8	TBC1D23	Tbc1d23
ENSMUSG00000022750	ENSG00000099910	ENSG00000099910.12	KLHL22	Klhl22
ENSMUSG00000022751	ENSG00000114021	ENSG00000114021.7	NIT2	Nit2
ENSMUSG00000022752	ENSG00000154174	ENSG00000154174.7	TOMM70A	Tomm70a
ENSMUSG00000022753	ENSG00000235156	ENSG00000235156.3	TMEM30C	Tmem30c
ENSMUSG00000022754	ENSG00000181458	ENSG00000181458.6	TMEM45A	Tmem45a
ENSMUSG00000022755	ENSG00000144820	ENSG00000144820.3	GPR128	Gpr128
ENSMUSG00000022756	ENSG00000099960	ENSG00000099960.8	SLC7A4	Slc7a4
ENSMUSG00000022757	ENSG00000114354	ENSG00000114354.8	TFG	Tfg
ENSMUSG00000022758	ENSG00000099957	ENSG00000099957.12	P2RX6	P2rx6
ENSMUSG00000022759	ENSG00000187905	ENSG00000187905.6	AC002472.13	4930451C15Rik
ENSMUSG00000022760	ENSG00000184436	ENSG00000184436.7	THAP7	Thap7
ENSMUSG00000022761	ENSG00000099949	ENSG00000099949.14	LZTR1	Lztr1
ENSMUSG00000022762	ENSG00000154654	ENSG00000154654.10	NCAM2	Ncam2
ENSMUSG00000022763	ENSG00000183773	ENSG00000183773.11	AIFM3	Aifm3
ENSMUSG00000022765	ENSG00000099940	ENSG00000099940.7	SNAP29	Snap29
ENSMUSG00000022766	ENSG00000099937	ENSG00000099937.6	SERPIND1	Serpind1
ENSMUSG00000022768	ENSG00000161180	ENSG00000161180.6	CCDC116	Ccdc116
ENSMUSG00000022769	ENSG00000128228	ENSG00000128228.4	SDF2L1	Sdf2l1
ENSMUSG00000022770	ENSG00000075711	ENSG00000075711.16	DLG1	Dlg1
ENSMUSG00000022771	ENSG00000100023	ENSG00000100023.13	PPIL2	Ppil2
ENSMUSG00000022772	ENSG00000119231	ENSG00000119231.6	SENP5	Senp5
ENSMUSG00000022773	ENSG00000100027	ENSG00000100027.10	YPEL1	Ypel1
ENSMUSG00000022774	ENSG00000114503	ENSG00000114503.6	NCBP2	Ncbp2
ENSMUSG00000022779	ENSG00000100038	ENSG00000100038.15	TOP3B	Top3b
ENSMUSG00000022780	ENSG00000163975	ENSG00000163975.7	MFI2	Mfi2
ENSMUSG00000022781	ENSG00000180370	ENSG00000180370.6	PAK2	Pak2
ENSMUSG00000022787	ENSG00000185798	ENSG00000185798.6	WDR53	Wdr53
ENSMUSG00000022788	ENSG00000139132	ENSG00000139132.10	FGD4	Fgd4
ENSMUSG00000022789	ENSG00000087470	ENSG00000087470.13	DNM1L	Dnm1l
ENSMUSG00000022790	ENSG00000144847	ENSG00000144847.8	IGSF11	Igsf11
ENSMUSG00000022791	ENSG00000061938	ENSG00000061938.12	TNK2	Tnk2
ENSMUSG00000022792	ENSG00000139131	ENSG00000139131.8	YARS2	Yars2
ENSMUSG00000022793	ENSG00000121578	ENSG00000121578.8	B4GALT4	B4galt4
ENSMUSG00000022797	ENSG00000072274	ENSG00000072274.8	TFRC	Tfrc
ENSMUSG00000022798	ENSG00000163424	ENSG00000163424.4	C3orf30	4930435E12Rik
ENSMUSG00000022799	ENSG00000031081	ENSG00000031081.6	ARHGAP31	Arhgap31
ENSMUSG00000022800	ENSG00000122068	ENSG00000122068.8	FYTTD1	Fyttd1
ENSMUSG00000022801	ENSG00000186001	ENSG00000186001.8	LRCH3	Lrch3
ENSMUSG00000022802	ENSG00000185621	ENSG00000185621.7	LMLN	Lmln
ENSMUSG00000022803	ENSG00000121577	ENSG00000121577.9	POPDC2	Popdc2
ENSMUSG00000022805	ENSG00000183833	ENSG00000183833.12	MAATS1	Maats1
ENSMUSG00000022807	ENSG00000144909	ENSG00000144909.7	OSBPL11	Osbpl11
ENSMUSG00000022808	ENSG00000114520	ENSG00000114520.6	SNX4	Snx4
ENSMUSG00000022809	ENSG00000144852	ENSG00000144852.12	NR1I2	Nr1i2
ENSMUSG00000022811	ENSG00000163848	ENSG00000163848.14	ZNF148	Zfp148
ENSMUSG00000022812	ENSG00000082701	ENSG00000082701.10	GSK3B	Gsk3b
ENSMUSG00000022814	ENSG00000114491	ENSG00000114491.9	UMPS	Umps
ENSMUSG00000022816	ENSG00000163430	ENSG00000163430.5	FSTL1	Fstl1
ENSMUSG00000022817	ENSG00000082781	ENSG00000082781.7	ITGB5	Itgb5
ENSMUSG00000022820	ENSG00000065518	ENSG00000065518.7	NDUFB4	Ndufb4
ENSMUSG00000022821	ENSG00000113924	ENSG00000113924.7	HGD	Hgd
ENSMUSG00000022822	ENSG00000114770	ENSG00000114770.12	ABCC5	Abcc5
ENSMUSG00000022824	ENSG00000173702	ENSG00000173702.3	MUC13	Muc13
ENSMUSG00000022827	ENSG00000144840	ENSG00000144840.4	RABL3	Rabl3
ENSMUSG00000022828	ENSG00000153767	ENSG00000153767.5	GTF2E1	Gtf2e1
ENSMUSG00000022829	ENSG00000145087	ENSG00000145087.8	STXBP5L	Stxbp5l
ENSMUSG00000022831	ENSG00000180353	ENSG00000180353.6	HCLS1	Hcls1
ENSMUSG00000022832	ENSG00000065371	ENSG00000065371.13	ROPN1	Ropn1
ENSMUSG00000022832	ENSG00000114547	ENSG00000114547.5	ROPN1B	Ropn1
ENSMUSG00000022833	ENSG00000175455	ENSG00000175455.10	CCDC14	Ccdc14
ENSMUSG00000022836	ENSG00000065534	ENSG00000065534.14	MYLK	Mylk
ENSMUSG00000022837	ENSG00000173226	ENSG00000173226.12	IQCB1	Iqcb1
ENSMUSG00000022838	ENSG00000145088	ENSG00000145088.4	EAF2	Eaf2
ENSMUSG00000022840	ENSG00000173175	ENSG00000173175.10	ADCY5	Adcy5
ENSMUSG00000022841	ENSG00000161203	ENSG00000161203.9	AP2M1	Ap2m1
ENSMUSG00000022842	ENSG00000145194	ENSG00000145194.13	ECE2	Ece2
ENSMUSG00000022843	ENSG00000114859	ENSG00000114859.10	CLCN2	Clcn2
ENSMUSG00000022844	ENSG00000065485	ENSG00000065485.13	PDIA5	Pdia5
ENSMUSG00000022847	ENSG00000090534	ENSG00000090534.13	THPO	Thpo
ENSMUSG00000022848	ENSG00000138463	ENSG00000138463.8	DIRC2	Dirc2
ENSMUSG00000022849	ENSG00000169087	ENSG00000169087.6	HSPBAP1	Hspbap1
ENSMUSG00000022853	ENSG00000113790	ENSG00000113790.6	EHHADH	Ehhadh
ENSMUSG00000022855	ENSG00000163904	ENSG00000163904.8	SENP2	Senp2
ENSMUSG00000022856	ENSG00000163900	ENSG00000163900.6	TMEM41A	Tmem41a
ENSMUSG00000022857	ENSG00000154646	ENSG00000154646.4	TMPRSS15	Tmprss15
ENSMUSG00000022858	ENSG00000136527	ENSG00000136527.13	TRA2B	Tra2b
ENSMUSG00000022860	ENSG00000154645	ENSG00000154645.9	CHODL	Chodl
ENSMUSG00000022861	ENSG00000058866	ENSG00000058866.10	DGKG	Dgkg
ENSMUSG00000022863	ENSG00000154640	ENSG00000154640.10	BTG3	Btg3
ENSMUSG00000022864	ENSG00000154642	ENSG00000154642.6	C21orf91	D16Ertd472e
ENSMUSG00000022865	ENSG00000154639	ENSG00000154639.14	CXADR	Cxadr
ENSMUSG00000022867	ENSG00000155313	ENSG00000155313.11	USP25	Usp25
ENSMUSG00000022868	ENSG00000145192	ENSG00000145192.8	AHSG	Ahsg
ENSMUSG00000022871	ENSG00000090512	ENSG00000090512.7	FETUB	Fetub
ENSMUSG00000022875	ENSG00000113889	ENSG00000113889.7	KNG1	Kng1
ENSMUSG00000022876	ENSG00000155307	ENSG00000155307.13	SAMSN1	Samsn1
ENSMUSG00000022877	ENSG00000113905	ENSG00000113905.4	HRG	Hrg
ENSMUSG00000022878	ENSG00000181092	ENSG00000181092.5	ADIPOQ	Adipoq
ENSMUSG00000022881	ENSG00000163918	ENSG00000163918.6	RFC4	Rfc4
ENSMUSG00000022883	ENSG00000169855	ENSG00000169855.15	ROBO1	Robo1
ENSMUSG00000022884	ENSG00000156976	ENSG00000156976.10	EIF4A2	Eif4a2
ENSMUSG00000022885	ENSG00000073849	ENSG00000073849.10	ST6GAL1	St6gal1
ENSMUSG00000022886	ENSG00000172179	ENSG00000172179.7	PRL	Prl2a1
ENSMUSG00000022887	ENSG00000127241	ENSG00000127241.12	MASP1	Masp1
ENSMUSG00000022889	ENSG00000154719	ENSG00000154719.9	MRPL39	Mrpl39
ENSMUSG00000022890	ENSG00000154723	ENSG00000154723.8	ATP5J	Atp5j
ENSMUSG00000022892	ENSG00000142192	ENSG00000142192.16	APP	App
ENSMUSG00000022893	ENSG00000154734	ENSG00000154734.10	ADAMTS1	Adamts1
ENSMUSG00000022894	ENSG00000154736	ENSG00000154736.5	ADAMTS5	Adamts5
ENSMUSG00000022895	ENSG00000157557	ENSG00000157557.7	ETS2	Ets2
ENSMUSG00000022897	ENSG00000157540	ENSG00000157540.15	DYRK1A	Dyrk1a
ENSMUSG00000022898	ENSG00000157538	ENSG00000157538.9	DSCR3	Dscr3
ENSMUSG00000022899	ENSG00000163406	ENSG00000163406.6	SLC15A2	Slc15a2
ENSMUSG00000022900	ENSG00000145103	ENSG00000145103.8	ILDR1	Ildr1
ENSMUSG00000022901	ENSG00000114013	ENSG00000114013.11	CD86	Cd86
ENSMUSG00000022902	ENSG00000121552	ENSG00000121552.3	CSTA	Stfa2
ENSMUSG00000022905	ENSG00000114030	ENSG00000114030.8	KPNA1	Kpna1
ENSMUSG00000022906	ENSG00000138496	ENSG00000138496.12	PARP9	Parp9
ENSMUSG00000022911	ENSG00000169379	ENSG00000169379.11	ARL13B	Arl13b
ENSMUSG00000022912	ENSG00000184500	ENSG00000184500.10	PROS1	Pros1
ENSMUSG00000022913	ENSG00000183527	ENSG00000183527.7	PSMG1	Psmg1
ENSMUSG00000022914	ENSG00000185658	ENSG00000185658.9	BRWD1	Brwd1
ENSMUSG00000022931	ENSG00000186971	ENSG00000186971.2	KRTAP13-4	4930553J12Rik
ENSMUSG00000022935	ENSG00000171189	ENSG00000171189.12	GRIK1	Grik1
ENSMUSG00000022938	ENSG00000183844	ENSG00000183844.12	FAM3B	Fam3b
ENSMUSG00000022940	ENSG00000185808	ENSG00000185808.9	PIGP	Pigp
ENSMUSG00000022941	ENSG00000183145	ENSG00000183145.4	RIPPLY3	Ripply3
ENSMUSG00000022945	ENSG00000159259	ENSG00000159259.7	CHAF1B	Chaf1b
ENSMUSG00000022946	ENSG00000142197	ENSG00000142197.8	DOPEY2	Dopey2
ENSMUSG00000022947	ENSG00000159231	ENSG00000159231.5	CBR3	Cbr3
ENSMUSG00000022948	ENSG00000185917	ENSG00000185917.9	SETD4	Setd4
ENSMUSG00000022949	ENSG00000159212	ENSG00000159212.8	CLIC6	Clic6
ENSMUSG00000022951	ENSG00000159200	ENSG00000159200.13	RCAN1	Rcan1
ENSMUSG00000022952	ENSG00000159216	ENSG00000159216.14	RUNX1	Runx1
ENSMUSG00000022956	ENSG00000241837	ENSG00000241837.2	ATP5O	Atp5o
ENSMUSG00000022957	ENSG00000205726	ENSG00000205726.9	ITSN1	Itsn1
ENSMUSG00000022960	ENSG00000159147	ENSG00000159147.13	DONSON	Donson
ENSMUSG00000022961	ENSG00000159140	ENSG00000159140.13	SON	Son
ENSMUSG00000022962	ENSG00000159131	ENSG00000159131.12	GART	Gart
ENSMUSG00000022964	ENSG00000142188	ENSG00000142188.12	TMEM50B	Tmem50b
ENSMUSG00000022965	ENSG00000159128	ENSG00000159128.10	IFNGR2	Ifngr2
ENSMUSG00000022967	ENSG00000142166	ENSG00000142166.8	IFNAR1	Ifnar1
ENSMUSG00000022969	ENSG00000243646	ENSG00000243646.4	IL10RB	Il10rb
ENSMUSG00000022971	ENSG00000159110	ENSG00000159110.15	IFNAR2	Ifnar2
ENSMUSG00000022973	ENSG00000159082	ENSG00000159082.13	SYNJ1	Synj1
ENSMUSG00000022974	ENSG00000159086	ENSG00000159086.10	PAXBP1	Paxbp1
ENSMUSG00000022978	ENSG00000159055	ENSG00000159055.3	MIS18A	Mis18a
ENSMUSG00000022982	ENSG00000142168	ENSG00000142168.10	SOD1	Sod1
ENSMUSG00000022983	ENSG00000156304	ENSG00000156304.10	SCAF4	Scaf4
ENSMUSG00000022986	ENSG00000170454	ENSG00000170454.5	KRT75	Krt75
ENSMUSG00000022987	ENSG00000167528	ENSG00000167528.8	ZNF641	Zfp641
ENSMUSG00000022991	ENSG00000167531	ENSG00000167531.2	LALBA	Lalba
ENSMUSG00000022992	ENSG00000139620	ENSG00000139620.8	KANSL2	Kansl2
ENSMUSG00000022993	ENSG00000257987	ENSG00000257987.1	LINC00935	4930415O20Rik
ENSMUSG00000022994	ENSG00000174233	ENSG00000174233.7	ADCY6	Adcy6
ENSMUSG00000022995	ENSG00000154380	ENSG00000154380.12	ENAH	Enah
ENSMUSG00000022996	ENSG00000169884	ENSG00000169884.9	WNT10B	Wnt10b
ENSMUSG00000022997	ENSG00000125084	ENSG00000125084.7	WNT1	Wnt1
ENSMUSG00000022999	ENSG00000139636	ENSG00000139636.11	LMBR1L	Lmbr1l
ENSMUSG00000023000	ENSG00000139549	ENSG00000139549.2	DHH	Dhh
ENSMUSG00000023004	ENSG00000123416	ENSG00000123416.11	TUBA1B	Tuba1b
ENSMUSG00000023007	ENSG00000110844	ENSG00000110844.9	PRPF40B	Prpf40b
ENSMUSG00000023008	ENSG00000161791	ENSG00000161791.9	FMNL3	Fmnl3
ENSMUSG00000023009	ENSG00000167566	ENSG00000167566.12	NCKAP5L	Nckap5l
ENSMUSG00000023010	ENSG00000139644	ENSG00000139644.8	TMBIM6	Tmbim6
ENSMUSG00000023011	ENSG00000135472	ENSG00000135472.4	FAIM2	Faim2
ENSMUSG00000023013	ENSG00000167580	ENSG00000167580.3	AQP2	Aqp2
ENSMUSG00000023015	ENSG00000161800	ENSG00000161800.8	RACGAP1	Racgap1
ENSMUSG00000023017	ENSG00000110881	ENSG00000110881.7	ASIC1	Asic1
ENSMUSG00000023018	ENSG00000066117	ENSG00000066117.10	SMARCD1	Smarcd1
ENSMUSG00000023019	ENSG00000167588	ENSG00000167588.8	GPD1	Gpd1
ENSMUSG00000023020	ENSG00000178449	ENSG00000178449.4	COX14	Cox14
ENSMUSG00000023021	ENSG00000139624	ENSG00000139624.8	CERS5	Cers5
ENSMUSG00000023022	ENSG00000050405	ENSG00000050405.9	LIMA1	Lima1
ENSMUSG00000023025	ENSG00000161813	ENSG00000161813.16	LARP4	Larp4
ENSMUSG00000023026	ENSG00000066084	ENSG00000066084.8	DIP2B	Dip2b
ENSMUSG00000023027	ENSG00000123268	ENSG00000123268.4	ATF1	Atf1
ENSMUSG00000023030	ENSG00000110911	ENSG00000110911.10	SLC11A2	Slc11a2
ENSMUSG00000023031	ENSG00000139610	ENSG00000139610.1	CELA1	Cela1
ENSMUSG00000023032	ENSG00000050438	ENSG00000050438.12	SLC4A8	Slc4a8
ENSMUSG00000023033	ENSG00000196876	ENSG00000196876.9	SCN8A	Scn8a
ENSMUSG00000023034	ENSG00000123358	ENSG00000123358.15	NR4A1	Nr4a1
ENSMUSG00000023036	ENSG00000240764	ENSG00000240764.2	PCDHGC5	Pcdhga9
ENSMUSG00000023039	ENSG00000135480	ENSG00000135480.10	KRT7	Krt7
ENSMUSG00000023041	ENSG00000170465	ENSG00000170465.9	KRT6C	Krt6b
ENSMUSG00000023041	ENSG00000185479	ENSG00000185479.5	KRT6B	Krt6b
