Cell type	Notes	STAR mapped file	read counts	Bulk_Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189384Aligned.out.bam	GSM2189384Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189385Aligned.out.bam	GSM2189385Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189386Aligned.out.bam	GSM2189386Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189388Aligned.out.bam	GSM2189388Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189391Aligned.out.bam	GSM2189391Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189395Aligned.out.bam	GSM2189395Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189396Aligned.out.bam	GSM2189396Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189401Aligned.out.bam	GSM2189401Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189402Aligned.out.bam	GSM2189402Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189403Aligned.out.bam	GSM2189403Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189405Aligned.out.bam	GSM2189405Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189406Aligned.out.bam	GSM2189406Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189407Aligned.out.bam	GSM2189407Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189408Aligned.out.bam	GSM2189408Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189409Aligned.out.bam	GSM2189409Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189410Aligned.out.bam	GSM2189410Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189411Aligned.out.bam	GSM2189411Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189421Aligned.out.bam	GSM2189421Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189422Aligned.out.bam	GSM2189422Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189423Aligned.out.bam	GSM2189423Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189424Aligned.out.bam	GSM2189424Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189425Aligned.out.bam	GSM2189425Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189426Aligned.out.bam	GSM2189426Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189427Aligned.out.bam	GSM2189427Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189428Aligned.out.bam	GSM2189428Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189429Aligned.out.bam	GSM2189429Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189430Aligned.out.bam	GSM2189430Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189431Aligned.out.bam	GSM2189431Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189432Aligned.out.bam	GSM2189432Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189433Aligned.out.bam	GSM2189433Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189434Aligned.out.bam	GSM2189434Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189435Aligned.out.bam	GSM2189435Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189451Aligned.out.bam	GSM2189451Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189453Aligned.out.bam	GSM2189453Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189454Aligned.out.bam	GSM2189454Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189455Aligned.out.bam	GSM2189455Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189456Aligned.out.bam	GSM2189456Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189457Aligned.out.bam	GSM2189457Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189458Aligned.out.bam	GSM2189458Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189518Aligned.out.bam	GSM2189518Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189527Aligned.out.bam	GSM2189527Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189528Aligned.out.bam	GSM2189528Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189537Aligned.out.bam	GSM2189537Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189538Aligned.out.bam	GSM2189538Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189557Aligned.out.bam	GSM2189557Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189570Aligned.out.bam	GSM2189570Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189572Aligned.out.bam	GSM2189572Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189574Aligned.out.bam	GSM2189574Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189576Aligned.out.bam	GSM2189576Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189581Aligned.out.bam	GSM2189581Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189646Aligned.out.bam	GSM2189646Aligned.out_counts_genes_mm9.txt	Single
Macrophages	Steve_quake Striatum scRNAseq	GSM2189665Aligned.out.bam	GSM2189665Aligned.out_counts_genes_mm9.txt	Single
Microglia	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033793Aligned.out.bam	SRR1033793Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033794Aligned.out.bam	SRR1033794Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	NOD/ShiLtJ, RNA-Seq 	SRR1634672Aligned.out.bam	SRR1634672Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	SPRET/EiJ, RNA-Seq 	SRR1634673Aligned.out.bam	SRR1634673Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	C57BL6/J, Ribozero RNA-Seq	SRR1634677Aligned.out.bam	SRR1634677Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	C57BL6/J, polyA RNA-Seq	SRR1634711Aligned.out.bam	SRR1634711Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	C57BL6/J, RNA-Seq 	SRR1634721Aligned.out.bam	SRR1634721Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 13months	SRR2961935Aligned.out.bam	SRR2961935Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 7months	SRR2961945Aligned.out.bam	SRR2961945Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 13months	SRR2961950Aligned.out.bam	SRR2961950Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 7months	SRR2961959Aligned.out.bam	SRR2961959Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Male 13months	SRR2961967Aligned.out.bam	SRR2961967Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 13months	SRR2961975Aligned.out.bam	SRR2961975Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 7months	SRR2961978Aligned.out.bam	SRR2961978Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 13months	SRR2961982Aligned.out.bam	SRR2961982Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 7months	SRR2961986Aligned.out.bam	SRR2961986Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Female 7months	SRR2961987Aligned.out.bam	SRR2961987Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	a01_brain_microglia1_Exp1_m	SRR1653929Aligned.out.bam	SRR1653929Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	a01_brain_microglia1_Exp1_m	SRR1653930Aligned.out.bam	SRR1653930Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	a02_brain_microglia2_Exp1_m	SRR1653931Aligned.out.bam	SRR1653931Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	a02_brain_microglia2_Exp1_m	SRR1653932Aligned.out.bam	SRR1653932Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	LCM_GFP-S1-22689-1, Microglia	SRR1068302Aligned.out.bam	SRR1068302Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	LCM_GFP-S2-22835-3, Microglia	SRR1068303Aligned.out.bam	SRR1068303Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	LCM_GFP-S3-22690-2, Microglia	SRR1068304Aligned.out.bam	SRR1068304Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	LCM_GFP-S4-22691-8, Microglia	SRR1068305Aligned.out.bam	SRR1068305Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_WT-S5-1135739, Microglia	SRR1068306Aligned.out.bam	SRR1068306Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_WT-S6--1135740, Microglia	SRR1068308Aligned.out.bam	SRR1068308Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_WT-S7-1135741, Microglia	SRR1068310Aligned.out.bam	SRR1068310Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_GFP-S8-1135742, Microglia	SRR1068312Aligned.out.bam	SRR1068312Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_GFP-S9-1135743, Microglia	SRR1068313Aligned.out.bam	SRR1068313Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	FACS_GFP-S10-1135744, Microglia	SRR1068314Aligned.out.bam	SRR1068314Aligned.out_counts_genes_mm9.txt	Bulk
Microglia	Steve_quake Striatum scRNAseq	GSM2189232Aligned.out.bam	GSM2189232Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189310Aligned.out.bam	GSM2189310Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189311Aligned.out.bam	GSM2189311Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189312Aligned.out.bam	GSM2189312Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189321Aligned.out.bam	GSM2189321Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189326Aligned.out.bam	GSM2189326Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189327Aligned.out.bam	GSM2189327Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189328Aligned.out.bam	GSM2189328Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189329Aligned.out.bam	GSM2189329Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189332Aligned.out.bam	GSM2189332Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189333Aligned.out.bam	GSM2189333Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189334Aligned.out.bam	GSM2189334Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189335Aligned.out.bam	GSM2189335Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189337Aligned.out.bam	GSM2189337Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189339Aligned.out.bam	GSM2189339Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189340Aligned.out.bam	GSM2189340Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189342Aligned.out.bam	GSM2189342Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189389Aligned.out.bam	GSM2189389Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189478Aligned.out.bam	GSM2189478Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189494Aligned.out.bam	GSM2189494Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189495Aligned.out.bam	GSM2189495Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189504Aligned.out.bam	GSM2189504Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189505Aligned.out.bam	GSM2189505Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189511Aligned.out.bam	GSM2189511Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189515Aligned.out.bam	GSM2189515Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189516Aligned.out.bam	GSM2189516Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189517Aligned.out.bam	GSM2189517Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189522Aligned.out.bam	GSM2189522Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189523Aligned.out.bam	GSM2189523Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189524Aligned.out.bam	GSM2189524Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189525Aligned.out.bam	GSM2189525Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189530Aligned.out.bam	GSM2189530Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189532Aligned.out.bam	GSM2189532Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189539Aligned.out.bam	GSM2189539Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189552Aligned.out.bam	GSM2189552Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189554Aligned.out.bam	GSM2189554Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189556Aligned.out.bam	GSM2189556Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189568Aligned.out.bam	GSM2189568Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189571Aligned.out.bam	GSM2189571Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189573Aligned.out.bam	GSM2189573Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189575Aligned.out.bam	GSM2189575Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189579Aligned.out.bam	GSM2189579Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189582Aligned.out.bam	GSM2189582Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189583Aligned.out.bam	GSM2189583Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189586Aligned.out.bam	GSM2189586Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189588Aligned.out.bam	GSM2189588Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189600Aligned.out.bam	GSM2189600Aligned.out_counts_genes_mm9.txt	Single
Microglia	Steve_quake Striatum scRNAseq	GSM2189666Aligned.out.bam	GSM2189666Aligned.out_counts_genes_mm9.txt	Single
Monocytes	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536407Aligned.out.bam	SRR1536407Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536408Aligned.out.bam	SRR1536408Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536409Aligned.out.bam	SRR1536409Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536410Aligned.out.bam	SRR1536410Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	b10_Monocyte1_Exp2	SRR1653927Aligned.out.bam	SRR1653927Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	b11_Monocyte2_Exp2	SRR1653928Aligned.out.bam	SRR1653928Aligned.out_counts_genes_mm9.txt	Bulk
Monocytes	Mono_C57BL/6J__4 to 6 (week)_monocyte_Gr1 medium, Mac1+, CFMS+, CD3-, CD4-, CD8-, IgM-, Ter119-__          	ERR674981Aligned.out.bam	ERR674981Aligned.out_counts_genes_mm9.txt	Bulk
Neuroblasts	S18 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572715Aligned.out.bam	SRR1572715Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S19 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572716Aligned.out.bam	SRR1572716Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S20 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572717Aligned.out.bam	SRR1572717Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S21 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572718Aligned.out.bam	SRR1572718Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S22 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572719Aligned.out.bam	SRR1572719Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S23 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572720Aligned.out.bam	SRR1572720Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S24 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572721Aligned.out.bam	SRR1572721Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S25 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572722Aligned.out.bam	SRR1572722Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S26 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572723Aligned.out.bam	SRR1572723Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S27 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572724Aligned.out.bam	SRR1572724Aligned.out_counts_genes_mm9.txt	Single
Neuroblasts	S28 CD133-/Dlx2+, ABI SOliD sequencing	SRR1572725Aligned.out.bam	SRR1572725Aligned.out_counts_genes_mm9.txt	Single
Neurons	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033785Aligned.out.bam	SRR1033785Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033786Aligned.out.bam	SRR1033786Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 13months	SRR2961933Aligned.out.bam	SRR2961933Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Male 13months	SRR2961941Aligned.out.bam	SRR2961941Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961949Aligned.out.bam	SRR2961949Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961954Aligned.out.bam	SRR2961954Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961956Aligned.out.bam	SRR2961956Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 13months	SRR2961969Aligned.out.bam	SRR2961969Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 13months	SRR2961972Aligned.out.bam	SRR2961972Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961974Aligned.out.bam	SRR2961974Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961983Aligned.out.bam	SRR2961983Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961984Aligned.out.bam	SRR2961984Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 13months	SRR2961988Aligned.out.bam	SRR2961988Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Female 7months	SRR2961991Aligned.out.bam	SRR2961991Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	C57BL6J/129, 8-11 weeks, Parvalbumin_inhibitory_neurons	SRR1647856Aligned.out.bam	SRR1647856Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	C57BL6J/129, 8-11 weeks, Parvalbumin_inhibitory_neurons	SRR1647857Aligned.out.bam	SRR1647857Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	C57BL6J/129, 8-11 weeks, Vasoactive_intestinal_peptide_inhibitory_neurons	SRR1647858Aligned.out.bam	SRR1647858Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	C57BL6J/129, 8-11 weeks, Vasoactive_intestinal_peptide_inhibitory_neurons	SRR1647859Aligned.out.bam	SRR1647859Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Lumbar segment spinal cord, Ventral horn motor neurons,  Postnatal day 1	SRR1016945Aligned.out.bam	SRR1016945Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	Lumbar segment spinal cord, Ventral horn motor neurons,  Postnatal day 1	SRR1016946Aligned.out.bam	SRR1016946Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233077Aligned.out.bam	SRR1233077Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233078Aligned.out.bam	SRR1233078Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233079Aligned.out.bam	SRR1233079Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233080Aligned.out.bam	SRR1233080Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233081Aligned.out.bam	SRR1233081Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233082Aligned.out.bam	SRR1233082Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233083Aligned.out.bam	SRR1233083Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233084Aligned.out.bam	SRR1233084Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233085Aligned.out.bam	SRR1233085Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233086Aligned.out.bam	SRR1233086Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233087Aligned.out.bam	SRR1233087Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233088Aligned.out.bam	SRR1233088Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233089Aligned.out.bam	SRR1233089Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233090Aligned.out.bam	SRR1233090Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233091Aligned.out.bam	SRR1233091Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233092Aligned.out.bam	SRR1233092Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233093Aligned.out.bam	SRR1233093Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233094Aligned.out.bam	SRR1233094Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233095Aligned.out.bam	SRR1233095Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233096Aligned.out.bam	SRR1233096Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233097Aligned.out.bam	SRR1233097Aligned.out_counts_genes_mm9.txt	Single
Neurons	e-PET-YFP, Dorsal Raphe; 5-HT neuron post natal 60	SRR1233098Aligned.out.bam	SRR1233098Aligned.out_counts_genes_mm9.txt	Single
Neurons	d7, immature, cerebellar cortical neurons	SRR1557080Aligned.out.bam	SRR1557080Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	d7, immature, cerebellar cortical neurons	SRR1557081Aligned.out.bam	SRR1557081Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	d7, immature, cerebellar cortical neurons	SRR1557082Aligned.out.bam	SRR1557082Aligned.out_counts_genes_mm9.txt	Bulk
Neurons	mOR-EG GFP, single Adult Cell, olfactory sensory neuron	ERR647660Aligned.out.bam	ERR647660Aligned.out_counts_genes_mm9.txt	Single
Neurons	mOR-EG GFP, single Adult Cell, olfactory sensory neuron	ERR647661Aligned.out.bam	ERR647661Aligned.out_counts_genes_mm9.txt	Single
